conv_id,emotion_label,context,speaker_utterance,original_listener_response,Test2.1_response_GPT35,Test2.2_response_GPT35,BERTScore_Test21_GPT35,BERTScore_Test22_GPT35
hit:2812_conv:5625,impressed,A friend of mine wrote a book. I admire the dedication and knowledge she has to complete such a big project.,A friend just published her own book. I don't know how she does it!,That's awesome! What is the name of the book?,That's amazing! I can see why you're so impressed. Writing a book takes a lot of dedication and hard work. Your friend must be really talented and passionate about her writing.,That's amazing! It must be so inspiring to see someone you know achieve their dreams like that. Have you read the book yet?,0.5165647268295288,0.5942218899726868
hit:1724_conv:3449,grateful,Everyday I remind myself of how lucky I am to have a pair of supportive parents.,Everyday I remind myself of how lucky I am to have a pair of supportive parents.,You are so right. It can make all the difference.,That's wonderful to hear! Having supportive parents is truly a blessing. I'm glad you recognize and appreciate their presence in your life.,That's wonderful to hear! Having supportive parents can make a big difference in our lives. It's great that you appreciate and acknowledge their role in your life.,0.4246516227722168,0.4982202351093292
hit:3951_conv:7903,joyful,i was happy when i got promoted a few months back,i was happy when i got promoted a few months back,"That is great.  Congatulations!!!! Did you get a big raise, too?","That's wonderful to hear! Getting promoted is a big accomplishment, and it's great to know that it brought you so much joy. Congratulations on your promotion!",That's great to hear! Getting a promotion is a big accomplishment. How has the new role been treating you so far?,0.4985150992870331,0.5449130535125732
hit:10163_conv:20326,apprehensive,I had a c-section planned to deliver my baby. I was excited about seeing her but nervous about the surgery.,I had a c-section scheduled to have my baby. I was very excited about seeing her but very nervous about the surgery. ,Did  you layer had the surgery?,"I can understand why you would feel apprehensive about the surgery, but I'm sure everything will go smoothly and you'll get to meet your baby soon. It's completely normal to have mixed emotions in a situation like this. Just remember, you're in good hands and soon you'll be holding your precious baby in your arms.","It's completely understandable to feel nervous about having a c-section, but it's great that you were also excited to meet your baby. How did everything go?",0.3842209577560425,0.4154948592185974
hit:458_conv:917,nostalgic,I really miss my mother.,I miss my mother deeply.,I'm sorry. We're you close?,"I can hear the nostalgia in your voice. It's completely understandable to miss her deeply. Your mother must hold a special place in your heart. If you'd like to share some memories or talk more about her, I'm here to listen.",I'm sorry to hear that you're feeling this way. It's completely natural to miss someone important to you. How about sharing some happy memories of your mother to honor her memory?,0.4246954619884491,0.5004017949104309
hit:10092_conv:20185,apprehensive,"I always feel nervous at the start of a new school year.  It's hard to know how the students will be, and how they will work together.",In two weeks I'll be back teaching with a brand new group of kids.,Are you excited for the new group?,"It's completely understandable to feel apprehensive about the start of the school year with a new group of students. It's natural to be unsure of how they will be and how they will work together. Remember that you are experienced and capable, and you'll find a way to navigate any challenges that come your way. Just take it one day at a time and trust in your skills as a teacher.",That's exciting! I'm sure you'll bring your usual enthusiasm and creativity to the classroom. The students are lucky to have you as their teacher.,0.4441875219345093,0.4967924654483795
hit:1830_conv:3661,joyful,that i am going to a concert after work ,I cant wait for work to finish today. I am headed out to a concert to have some fun!,That sounds like a blast. Who are you going to see?,That sounds like so much fun! I hope you have a fantastic time at the concert and enjoy every moment of it. It's great to have something exciting to look forward to after a long day at work. Let loose and have a blast!,That sounds exciting! Who are you going to see at the concert? I hope you have a great time and enjoy yourself after a long day at work.,0.4697519838809967,0.6138715147972107
hit:3301_conv:6602,proud,My son just finished high school.,My son just finished high school.,"Oh wow, that's exciting!",That's wonderful news! Congratulations to you and your son on this achievement. You must be feeling so proud of his hard work and dedication. What are his plans now that he's graduated?,Congratulations! That's a big milestone. What are his plans for after graduation?,0.4754573404788971,0.550256073474884
hit:6722_conv:13444,content,"At our last family Thanksgiving gathering, each of us took turns saying what we were thankful for. It brought us so much closer together as a family, and that evening I feel so content and warm. It was very special to all of us.",I had a particularly meaningful Thanksgiving gathering with my family.,Well that's good!  What did you all do?,That sounds like such a heartwarming and special experience. It's wonderful to hear that you all were able to share what you're thankful for and feel closer as a family. I'm glad you felt content and warm that evening. It must have been a truly memorable Thanksgiving for all of you.,That's wonderful to hear! What made it so meaningful for you?,0.459933191537857,0.6117382049560547
hit:6055_conv:12111,furious,I can't get my money under control and I am angry with mysef.,I can't get my money under control and I am so angry with myself.,Do you have a lot of debt?  I'm sure you will figure it out and get back on your feet.,"I'm sorry to hear that you're feeling this way. It's understandable to feel frustrated when things aren't going as planned, especially with something as important as your finances. Remember, it's never too late to take steps to improve the situation. You can start by creating a budget or seeking help from a financial advisor. Don't be too hard on yourself, everyone makes mistakes. Just take it one step at a time and you'll get through this.","I'm sorry to hear that you're feeling this way. It's important to remember that everyone struggles with managing their finances at times. It might be helpful to take a step back, create a budget, and seek guidance from a financial advisor to help you get back on track. Remember, it's never too late to make positive changes.",0.4720481038093567,0.4996542930603027
hit:3148_conv:6296,anticipating,My big soccer game is tomorrow. So excited that I can't even sleep.,My big soccer game is tomorrow. I am so excited that I can't even sleep,What position do you play?,That's awesome! It sounds like you're really looking forward to it. Good luck with your game tomorrow!,That's great to hear! It sounds like you're really looking forward to it. I hope you have a fantastic game tomorrow!,0.349818468093872,0.3352957963943481
hit:8176_conv:16352,ashamed,The time I broke my dads favorite glass while playing. I ended up blaming my dog.,Didn't mean to break his glass but I totally did.,What kinda glass?,"It's okay, mistakes happen. It's important to take responsibility for our actions though. Maybe you can talk to your dad and explain what happened. He might appreciate your honesty.","Oh no, accidents happen! I'm sure he'll understand. Do you think you can replace it for him?",0.2957279682159424,0.3541154265403747
hit:3242_conv:6485,content,I went to an Italian restaurant earlier for dinner.  It was pretty good.,I went to an Italian restaurant for dinner earlier.,How was it?,I'm glad to hear that you enjoyed it! What did you have?,That's great! What did you have to eat there?,0.4531789720058441,0.4284151494503021
hit:651_conv:1303,guilty,I cheated on my girlfriend once.,I cheated on my girl friend once and haven't told her. ,"Oh boy, that is a very delicate situation. Do you plan on telling her?","I can see that you're feeling guilty about what happened. It must be weighing heavily on your conscience. It's important to consider the impact of your actions on your girlfriend and think about how to address the situation. It might be difficult, but honesty and communication are key in any relationship.","It sounds like you're carrying a heavy burden by keeping this secret. It might be difficult, but honesty is important in a relationship. Have you thought about how you might address this with her?",0.4268369376659393,0.5167856812477112
hit:2535_conv:5070,devastated,My dog passed away last month. I am so sad about it.,My dog passed away last month.,Oh man I am so sorry! I have lost many this year too. I hope he had a long life,I am so sorry to hear that. Losing a pet can be incredibly difficult. It's okay to feel devastated. Please know that I am here for you if you need to talk or if there's anything I can do to support you during this difficult time.,"I'm so sorry to hear that. Losing a pet can be incredibly difficult. If you need someone to talk to or support, please know that I'm here for you.",0.4621870517730713,0.4428235292434692
hit:5406_conv:10812,excited,I won a car in a contest recently. What an awesome feeling!,I won a car in a contest recently. ,That's awesome! What kind of car is it?,"Wow, that's amazing! I can hear the excitement in your voice. Congratulations on winning the car!",That's amazing! Congratulations on winning a car! What kind of car did you win?,0.5412696599960327,0.7476186156272888
hit:10913_conv:21827,sentimental,I went to my moms house last weekend and w=she gave me some picture of me when I was a child. it was nice looking through the old photos,I went to visit my mm last weekend. We enjoyed talking and looking through old photos.,Do you guys live far away from each other? I love talking with my mom about her and my childhood.,It sounds like you had a really nice time with your mom. Looking through old photos can bring back so many memories and emotions. It must have been a sentimental experience for you.,That sounds like a lovely time! It's always nice to spend quality time with family and reminisce about the past.,0.4665369987487793,0.4577572345733642
hit:10085_conv:20170,trusting,I went on a road trip to a new city.  I trusted my husband to drive us there safely and not get lost.,"Hi, I went on a road trip this summer.",Sounds like fun!  Did you enjoyed it? How far did you go?,That sounds like a fun adventure! It's great that you trusted your husband to drive and navigate the way. How did it go?,That sounds like a lot of fun! Where did you go on your road trip?,0.6200920939445496,0.7080978751182556
hit:7161_conv:14322,disgusted,I made the mistake of going onto a risque website one time. I saw some grotesque stuff that really grossed me out and I never went on there again.,I unfortunately decided to go on one of those really risque websites one time. I saw some awful stuff,Really? What was the address? No - only joking. ,I'm sorry you had to go through that. It must have been really disturbing and unsettling. It's good that you realized it wasn't for you and decided not to go back on there again. Your well-being is important.,"I'm sorry to hear that. It's important to be cautious when browsing the internet to avoid coming across disturbing content. If you need support or someone to talk to about what you saw, I'm here for you.",0.2968840897083282,0.2979797422885895
hit:9397_conv:18795,disappointed,I did not get to go to out with my friends last night. I was too busy so I had to stay home instead,I did not get to go to out with my friends last night,Why didn't you ?,I'm sorry to hear that you had to miss out on going out with your friends last night. It must be disappointing to have been too busy to join them. I hope you can make plans to see them soon and make up for it!,I'm sorry to hear that. Is everything okay?,0.3386358320713043,0.3562887609004974
hit:6190_conv:12381,nostalgic,"I think about my childhood a lot, those were really great days, I love them","I think about my childhood a lot, those were really great days, I love them","I do too, its nice to have memories",It's wonderful that you have such fond memories of your childhood. It must bring you a lot of joy to reflect on those special times. Nostalgia can be a comforting and heartwarming feeling.,It's wonderful that you have such fond memories of your childhood. What stands out the most to you when you think back on those days?,0.4429181814193725,0.4099310636520386
hit:6513_conv:13027,faithful,I was on a business trip last week spending some time at a local bar. There was a girl who was being flirty with me. I had to tell her that I was married and I couldn't play with her.,Last week on a business trip I spent some time at the bar. There was this girl who was really flirty with me. I had to tell her that I couldn't play with her because I was married.,Very admirable,"I'm proud of you for staying faithful to your marriage, even when faced with a tempting situation. It must have been difficult to have that conversation, but your commitment to your marriage shows your strength of character.","It's good that you stayed true to your commitment to your spouse. It must have been awkward having to turn down her advances, but it was the right thing to do.",0.3192546963691711,0.3051294982433319
hit:2530_conv:5061,caring,I felt very caring about a friend when he was  worried if he would be liked because of his weight,My friend was worried he wouldn't be liked because of his weight. ,That's not a reason to dislike someone.,It's really kind and compassionate of you to care so much about your friend's well-being. I'm sure your support means a lot to him during this tough time. Let him know that you're there for him no matter what and that his worth is not determined by his weight. Your caring nature is truly admirable.,"I'm sorry to hear that your friend was feeling that way. It's important to remind him that true friends will accept and appreciate him for who he is, regardless of his weight. Is there anything I can do to help support him?",0.3748065829277038,0.3862099945545196
hit:5538_conv:11076,anxious,I can't wait to see the meg. It looks really good,Have you seen previews for the meg?,"I think so, that's the giant shark movie, right ?","Yes, I have seen the previews for The Meg. It does look really good! I can understand why you're feeling anxious to see it. It seems like it's going to be an exciting movie.","Yes, I have seen previews for ""The Meg."" It looks like an exciting movie!",0.4549627006053924,0.4613428115844726
hit:1314_conv:2628,joyful,I am so happy it is almost August.,I am so happy it is almost August.,Me too but it is still one more month of heat coming but it also means September is on the way.,"That's great to hear! August is just around the corner, with lots of exciting things to look forward to. Enjoy the anticipation and all the happiness that comes with it!",That's great to hear! What are you looking forward to in August?,0.420443594455719,0.3557552099227905
hit:11481_conv:22962,embarrassed,I was running and fell flat on my face. i think a lady saw it happen,I was late for work today and in a hurray I fell down some stairs,"That is terrible to hear, hopefully you didn't injure anything more than your pride.","Oh no, I'm sorry to hear that happened! It must have been quite embarrassing, especially if someone saw it. Are you okay?","Oh no, I hope you're okay! Falling down stairs can be really dangerous. Take care of yourself and maybe slow down a bit next time to avoid accidents.",0.4615637958049774,0.4328025877475738
hit:2982_conv:5964,confident,I am pretty certain I will be able to afford a vacation for my family by Christmas time. ,I  am pretty certain I will be able to afford a vacation for my family ,Thats awesome.  Where are you wanting to go?,That's great to hear! It sounds like you're feeling confident about your finances. I hope you have a wonderful vacation with your family by Christmas time!,That's great to hear! It must feel reassuring to have that certainty. Where are you thinking of going for your vacation?,0.4741876721382141,0.6268011927604675
hit:6986_conv:13972,lonely,Sat home all day by myself,I sat home all day by myself yesterday,You must have felt very lonely.,I'm sorry to hear that you were feeling lonely. Is there anything I can do to help or cheer you up? Sometimes a good chat or a fun activity can make a difference.,It sounds like you had a relaxing day to yourself. Did you do anything in particular while you were at home?,0.4423379898071289,0.4521080255508423
hit:1551_conv:3103,furious,My son stole $600 from me!,I cannot believe that my own son would steal from me!!!!,Oh no. Why did he steal?,I understand why you are feeling furious right now. It must be incredibly upsetting to discover that your son would betray your trust in such a way. Have you had a chance to talk to him about it yet?,I'm so sorry to hear that. Have you had a chance to talk to your son about what happened?,0.3460991978645324,0.3418477177619934
hit:5225_conv:10450,hopeful,"Last time I ordered pizza from my local pizza shop for delivery, they forgot my sauces!! So I called and complained and was ensured that it would not happen again. So this time I put in the order and called to MAKE SURE my sauces came. They should be here any minute now. ","Last time I ordered pizza from my local pizza shop for delivery, they forgot my sauces!! So I called and complained and was ensured that it would not happen again. So this time I put in the order and called to MAKE SURE my sauces came. They should be here any minute now.",I love sauces like that,"I'm sorry to hear about your previous experience, but I'm glad you took the extra step to make sure your sauces are included this time. Hopefully, they will arrive with your order soon!","I'm sorry to hear about your previous experience with missing sauces, but I'm glad you took the initiative to confirm this time. Hopefully, your sauces will arrive with your pizza soon! Enjoy your meal.",0.3787204325199127,0.4047088325023651
hit:7920_conv:15840,jealous,I'm so jealous of my friend's new girlfriend.  She is perfect in every sense of the word!,I'm so jealous of my friend's new girlfriend. She is perfect in every sense of the word,The perfect person for you will come soon enough,"I can understand how you might feel that way. It's tough when someone else seems to have it all. Remember, everyone has their own unique qualities and strengths. Try to focus on what makes you special and appreciate the positive aspects of your own life.","It's normal to feel that way sometimes. It's important to remember that everyone has their own strengths and weaknesses, and it's best to focus on appreciating what makes you unique.",0.388296514749527,0.3357894718647003
hit:7150_conv:14300,furious,Someone broke out my car window.  I am so angry it happened.,Someone broke out my car window.,Were they trying to steal from your car?,"I can't believe that happened, I understand why you're feeling so furious right now. It's completely justified. Is there anything I can do to help you with this situation?",I'm so sorry to hear that! Are you okay? Did you file a police report?,0.3485898375511169,0.4163545370101928
hit:4291_conv:8583,annoyed,I was on a flight and a kid kept kicking the back of my chair.  I was so irritated. ,I was on a flight and a kid kept kick the back of my chair.,Did you ask the kid or the kid's parents to stop kicking your chair?,I can imagine how frustrating that must have been. It's tough when you're trying to relax on a flight and someone's behavior is disruptive.,That sounds really annoying. I hope you were able to find a way to handle the situation without too much disruption to your flight.,0.3758571445941925,0.4006899297237396
hit:6241_conv:12483,ashamed,I took $20 from my roomie to go on a date.,I took $20 from my roomie to go on a date.,did he notice?,"I understand that you feel ashamed about taking that money from your roomie. It's important to be honest and upfront with them about it. Apologizing and finding a way to make things right would be the best course of action. Everyone makes mistakes, but taking responsibility for them is what matters most.",Did you remember to ask your roomie for permission before taking the money?,0.272420585155487,0.4390582740306854
hit:6147_conv:12295,faithful,I just celebrated my 50th wedding anniversary.,I just celebrated my 50th wedding anniversary.,"Wow, holy cow, how old were you when you got married?",Congratulations on such a significant milestone! Your faithfulness to each other for 50 years is truly inspiring. I'm sure it must have been a beautiful celebration. May you continue to cherish each other and create many more wonderful memories together.,Congratulations! That's such a wonderful milestone. How did you celebrate your special day?,0.3425772488117218,0.4876419603824615
hit:4820_conv:9641,disgusted,I saw a cochroach in my living room last night.,I saw a cochroach in my living room last night.,Time to get the spray out.,"Oh no, that's awful! I can understand why you would feel disgusted. Do you need help getting rid of it or any tips on preventing them from coming back?","Oh no, that must have been unsettling! Have you been able to take care of it or do you need any help getting rid of it?",0.3414317369461059,0.3474389612674713
hit:3755_conv:7510,proud,I was so pleased with myself for completing home remodeling tasks.,I was so pleased with myself for knocking off a lot of tasks in my home remodeling project!,that's awesome! what rooms did you remodel?,That's fantastic! You should be really proud of all the hard work you put in. It must feel great to see everything coming together. Keep up the good work!,That's great to hear! It must feel really satisfying to see all your hard work paying off in your home. How are you feeling about the progress you've made so far?,0.5177821516990662,0.5294789671897888
hit:6537_conv:13075,angry,My friend has promised me that he would drive me to the airport for my flight. He never showed up and I missed my flight.,My friend promised to drive me to the airprot. He never showed up and I ended up missing my flight!,That is terrible. Did you tried calling him?,"I can understand why you're feeling angry. It must be really frustrating to have been let down like that, especially when it caused you to miss your flight. Have you talked to your friend about what happened?",I'm so sorry to hear that happened to you. It must have been really frustrating and stressful. Is there anything I can do to help?,0.5084874629974365,0.4607394635677337
hit:1158_conv:2316,proud,I won a jello eating contest once at a boy scout camp. For some reason i was really happy i won even though i was a mess after.,Hello! So you even win a eating contest before? I won a Jello eating one back in scouts.,I've never been in an eating contest! How much jello did you eat to win? ,"Wow, that's impressive! Winning a Jello eating contest must have been quite the achievement. It's totally okay to feel proud of yourself for coming out on top, even if you were a mess afterwards. It's all part of the fun and excitement of winning!","Hello! That's impressive that you won a Jello eating contest in scouts. I've never won an eating contest before, but it sounds like a fun experience!",0.494601845741272,0.6350997090339661
hit:8480_conv:16960,terrified,I got a flat tire and had to pull over at 3 in the morning on a dark road. It was pitch black outside.,That was scary having to change my tire in the middle of the road!,yea that sucks.. feeling those cars zoom by you,"I can only imagine how terrifying that must have been, especially in the middle of the night on a dark road. I'm glad you were able to change the tire and stay safe. Would you like me to come pick you up or stay on the phone with you until you feel more at ease?",I'm glad you were able to handle the situation safely. It can be really nerve-wracking to deal with car troubles on the road. Do you need any help with anything else?,0.3304828107357025,0.345851719379425
hit:9896_conv:19793,confident,I just know i am going to meet the right guy this year. Its been a long time,i am going to meet my soul mate this year,Where are you meeting her?,"That's wonderful to hear! I can sense your confidence and positivity shining through. I truly believe that when you have that kind of mindset, great things are bound to happen. Here's to a year filled with exciting possibilities and the perfect match for you!",That's wonderful to hear! I hope you have a magical and fulfilling encounter with your soul mate.,0.3249330520629883,0.3865687251091003
hit:5572_conv:11145,jealous,My friend's boyfriend is good looking.,"My friend's new boyfriend is so good looking, I wish I could get a guy that cute.",aw looks isn't everything.,"I can understand why you might feel jealous seeing your friend with such a good-looking boyfriend. Just remember that looks aren't everything in a relationship, and someone special will come along for you too. Try to focus on all the amazing qualities you have to offer, and the right person will appreciate them.","It's totally natural to admire someone's good looks, but remember that true connection and compatibility are what really matter in a relationship. I'm sure you'll find someone who is not only handsome but also kind and understanding. Just be patient and keep an open mind.",0.4448566436767578,0.426151841878891
hit:12420_conv:24840,confident,My boss informed me that I am in pole position of getting the promotion.,My boss informed me that I am in the first position of getting the promotion,"That's pretty awesome, congrats",That's fantastic news! You've obviously been doing great work to be in that position. I have no doubt that you'll secure the promotion. Keep up the great work!,That's fantastic news! Congratulations on being in the running for a promotion. It sounds like your hard work and dedication are really paying off.,0.4566367268562317,0.4885467886924743
hit:9611_conv:19222,proud,I have been tutoring my nephew in math. He brought back an A on his lat test. I am so happy for him.,I have been tutoring my nephew in math. He brought back an A on his last test. I am so happy for him.,"THAT'S AMAZING, what test was it?",That's wonderful news! I can hear the pride in your voice. Your hard work and dedication to helping your nephew paid off. He must be thrilled with his A grade!,That's fantastic news! You must be really proud of your nephew. It sounds like your tutoring is really paying off. Keep up the great work!,0.4279568791389465,0.4478933215141296
