conv_id,emotion_label,context,speaker_utterance,original_listener_response,Test2.1_response_GPT4,Test2.2_response_GPT4,BERTScore_Test21_GPT4,BERTScore_Test22_GPT4
hit:2812_conv:5625,impressed,A friend of mine wrote a book. I admire the dedication and knowledge she has to complete such a big project.,A friend just published her own book. I don't know how she does it!,That's awesome! What is the name of the book?,That's incredible! It must have taken so much effort and passion to see that project through to the end. What’s the book about?,That's incredible! What's her book about?,0.6172592043876648,0.7616192698478699
hit:1724_conv:3449,grateful,Everyday I remind myself of how lucky I am to have a pair of supportive parents.,Everyday I remind myself of how lucky I am to have a pair of supportive parents.,You are so right. It can make all the difference.,That's truly wonderful to hear. Having supportive parents can make such a big difference in life. What are some of the best things they've done that make you feel so grateful?,That's wonderful to hear! Having supportive parents can make a huge difference in life. What are some of the ways they've shown their support that stand out to you?,0.5019642114639282,0.470299631357193
hit:3951_conv:7903,joyful,i was happy when i got promoted a few months back,i was happy when i got promoted a few months back,"That is great.  Congatulations!!!! Did you get a big raise, too?",That's fantastic news! Congratulations on your promotion! It must feel great to have your hard work recognized. How has the experience been for you since then?,That's fantastic! Congratulations on your promotion! How has the experience been for you so far?,0.5150270462036133,0.5470936894416809
hit:10163_conv:20326,apprehensive,I had a c-section planned to deliver my baby. I was excited about seeing her but nervous about the surgery.,I had a c-section scheduled to have my baby. I was very excited about seeing her but very nervous about the surgery. ,Did  you layer had the surgery?,"It's completely understandable to feel that way. Having a baby is a huge moment, and it's natural to have mixed emotions about the process, especially with a surgery involved. Just remember that you'll be in the hands of professionals who do this every day. They’ll take great care of you and your baby. If you have any concerns, don't hesitate to share them with your doctor—they're there to help you feel as comfortable as possible. And soon, you’ll have your little one in your arms! How are you feeling about everything else?",It's completely understandable to feel a mix of excitement and nervousness about having a c-section and meeting your baby for the first time. How are you feeling now? Is there anything specific you're worried about with the surgery?,0.36954864859580994,0.4810851216316223
hit:458_conv:917,nostalgic,I really miss my mother.,I miss my mother deeply.,I'm sorry. We're you close?,I can only imagine how tough that must be for you. Do you want to share some of your favorite memories with her? It might be nice to reminisce about the special times you spent together.,I'm sorry to hear that you're feeling this way. It must be really tough. Do you want to talk about what you miss most about her?,0.40430042147636414,0.5403878092765808
hit:10092_conv:20185,apprehensive,"I always feel nervous at the start of a new school year.  It's hard to know how the students will be, and how they will work together.",In two weeks I'll be back teaching with a brand new group of kids.,Are you excited for the new group?,It's completely understandable to feel apprehensive about the start of a new school year and meeting your new students. It's a big transition and there's always some uncertainty. Maybe you could try some ice-breaking activities on the first day to help everyone get to know each other and start building a positive classroom atmosphere. What do you think?,That sounds exciting! Are you looking forward to meeting your new students?,0.4779539108276367,0.6591329574584961
hit:1830_conv:3661,joyful,that i am going to a concert after work ,I cant wait for work to finish today. I am headed out to a concert to have some fun!,That sounds like a blast. Who are you going to see?,That sounds amazing! Who are you going to see perform?,That sounds exciting! Who are you going to see perform?,0.7985190749168396,0.7998011708259583
hit:3301_conv:6602,proud,My son just finished high school.,My son just finished high school.,"Oh wow, that's exciting!",That's such a wonderful achievement! You must be incredibly proud of him. What are his plans for the future?,Congratulations to him! What are his plans for the future?,0.5157963633537292,0.4069913625717163
hit:6722_conv:13444,content,"At our last family Thanksgiving gathering, each of us took turns saying what we were thankful for. It brought us so much closer together as a family, and that evening I feel so content and warm. It was very special to all of us.",I had a particularly meaningful Thanksgiving gathering with my family.,Well that's good!  What did you all do?,That sounds wonderful! It's so special when moments like that bring everyone closer. What was one of the things you shared that you were thankful for?,That sounds wonderful! What made it particularly meaningful for you this year?,0.5148208737373352,0.5525885224342346
hit:6055_conv:12111,furious,I can't get my money under control and I am angry with mysef.,I can't get my money under control and I am so angry with myself.,Do you have a lot of debt?  I'm sure you will figure it out and get back on your feet.,"I can see why you're feeling this way, and it's completely understandable to be upset in this situation. But remember, beating yourself up won't help solve the issue. Let's take a step back and maybe we can tackle this together. How about we look at creating a budget or finding some resources that could help you manage your finances better? You're not alone in this.","It sounds really frustrating to feel out of control with your finances. Don't be too hard on yourself, though. Managing money can be really challenging. Maybe we can look at some strategies or tools that could help you feel more in control. What do you think?",0.45596417784690857,0.4439234733581543
