conv_id,emotion_label,context,speaker_utterance,original_listener_response,Test2.1_response_GPT4,Test2.2_response_GPT4,BERTScore_Test21_GPT4,BERTScore_Test22_GPT4
hit:10000_conv:20000,surprised,My girlfriend got me a toad today! I was so shocked and happy!,My girlfriend got me a pet toad today!,Do you like toads?,"Wow, that's definitely an unexpected gift! How do you feel about having a new toad buddy?",That's exciting! Have you thought of a name for your new pet toad yet?,0.5186154246330261,0.5288370251655579
hit:10065_conv:20131,devastated,When I was moving I put my stuff in storage. My unit got robbed of all my antiques and precious things.,My storage unit got robbed while I was moving to a new home. They took all my family antiques and precious items.,"That's terrible. I don't know what's up with this world anymore, it seems like things are always getting worse.","Oh no, I'm so sorry to hear that happened to you. Losing such irreplaceable items must be incredibly heartbreaking. If there’s anything I can do to help or if you need someone to talk to, I’m here for you.","I'm so sorry to hear that happened during such a stressful time. Losing items with sentimental value must be really tough. If there’s anything I can do to help, please let me know. Have you been able to contact the police or the storage facility about it?",0.3903047442436218,0.38739141821861267
hit:1011_conv:2022,nostalgic, I get nostalgic thinking about all the games I used to lpay with my friends on our street,I get nostalgic thinking about all the games I used to lpay with my friends on our street,I remember those games too. What kinds did you play? My favorite was flashlight tag.,It's wonderful how those memories still hold such a special place in your heart. What were some of your favorite games to play back then?,That sounds like such a great time! What were some of your favorite games to play?,0.5252317190170288,0.5124086737632751
hit:1014_conv:2028,angry,All my neighbors constantly want to get together to gossip and talk bad about the people who live across the street. I'm sick of it!,"Lately, my neighbors want to sit around and gossip about the family across the street. They love to talk bad about them even though it's clear this family is struggling. I'm sick of it","I am sure you are, that sounds bad","I can understand why you'd feel angry about that situation. It sounds really exhausting and negative to be around that kind of behavior, especially when it's about people who are already having a tough time. Have you thought about expressing how uncomfortable this makes you feel to your neighbors? Maybe they don't realize how their actions are affecting you and the community atmosphere.","That sounds really tough. It must be uncomfortable to hear those kinds of conversations, especially when they're about people who are already facing difficulties. Have you thought about maybe steering the conversation in a more positive direction when this happens, or expressing how you feel about the gossip?",0.3825171887874603,0.3809770345687866
hit:10152_conv:20305,hopeful,I'm trying to save up money to buy a home by next year. If all goes well It can happen.,I am saving up my money to buy a home next year sometime. I think it can happen.,Are you excited?,"That's really exciting! It sounds like you've got a solid plan in place. Keep up the great work, and I'm sure you'll reach your goal. If you need any help or tips along the way, I'm here for you.",That sounds like a great goal! It must feel exciting to be working towards owning a home. Have you started looking at places or neighborhoods where you might want to buy?,0.405718058347702,0.48835092782974243
hit:10181_conv:20362,devastated,I worked so hard on the science project I was so upset when I didn't get first place. I thought I deserved it!,I worked so hard on my science project in school. I thought I was going to get first place. I didn't and was so upset.,What a bummer! What place did you end up getting?,"I'm really sorry to hear that you didn't get first place after putting in so much effort. It's completely understandable to feel devastated when things don't turn out the way you hoped, especially after you've worked so hard. Remember, your hard work and dedication still hold a lot of value, regardless of the outcome. Do you want to talk about what you learned from the project or how we can celebrate all the effort you put into it?","I'm really sorry to hear that you didn't get the result you were hoping for, especially after putting in so much effort. It's completely understandable to feel upset about it. Maybe you could ask for some feedback on your project? It might help you see what was well-received and what could be improved for next time.",0.36214137077331543,0.3750099241733551
hit:10188_conv:20376,content,When my dog greets me at my door,There is no better feeling than being greeted at the door by your dog,Thats always a good feeling. I bet you are excited to come home everyday.,"Absolutely, it’s such a heartwarming moment that just lifts your spirits instantly. How does your dog usually greet you?","Absolutely, it's such a heartwarming experience! Dogs always know how to make us feel loved and important, no matter what kind of day we've had.",0.44070640206336975,0.4378535747528076
hit:10198_conv:20396,impressed,my friend joined the airforce and became an air traffic controller. Then she got out and became a detective. I'm so proud of her.,my friend joined the airforce and became an air traffic controller.,That sounds like some good work experience. How long is he in.,"Wow, that's quite an achievement! Being an air traffic controller requires so much skill and focus.",That's impressive! Being an air traffic controller is a huge responsibility. How does your friend feel about the new role?,0.447649210691452,0.47343936562538147
hit:1019_conv:2038,joyful,I have plans to go meet my best friend who I haven't seen in 10 years.,I'm planning a trip next month and I am super excited.,Where are you headed to?,That sounds amazing! It must be so exciting to reconnect after such a long time. What do you have planned for the reunion?,That sounds amazing! Where are you planning to go?,0.4162968397140503,0.6769535541534424
hit:10211_conv:20422,afraid,We are relocating for my husband's work. I'm excited but scared,"I'm so excited to relocate to AZ for my husband's work (temporarily), but kinda scared!",That does sound exciting! Why are you scared?,"It's completely natural to feel a mix of excitement and fear about moving to a new place, especially when it's temporary and you have to adjust to a lot of changes. What aspects are you feeling most apprehensive about? Maybe we can talk through some of those concerns to help you feel more at ease.",That sounds like a big adventure! It's totally normal to feel a mix of excitement and nervousness about moving. What part of Arizona are you moving to? Maybe I can help you find some fun things to do there!,0.4136762022972107,0.5360037088394165
hit:10236_conv:20473,anticipating,My husband has a job interview coming up and we are really hoping he will get the job. It'll be a really nice job for him and it pays well too.,My husband has a job interview coming up and we re really hoping he'd get the job.,What kind of job is it?   I will keep my fingers crossed he gets it!,That sounds really exciting! I'm keeping my fingers crossed for him. When is the interview scheduled?,That's exciting! I hope the interview goes well for him. What kind of job is he interviewing for?,0.550010085105896,0.5435999035835266
hit:10272_conv:20544,sentimental,"When moving out of my old family home, I came across a few bags of stuffed animals I had as a kid. Probably 20 animals total. ","When moving out of my old family home, I came across a few bags of stuffed animals I had as a kid. Probably 20 animals total.","wow that sure is a lot of stuffed animals, did you play with toys alot at a kid?",That must have brought back so many memories! It’s amazing how items like those can feel like a treasure trove of emotions. Do you think you’ll keep any of them as keepsakes?,"That must have been quite the nostalgic find! Do you have any special plans for them, like keeping a few favorites or donating them?",0.46611714363098145,0.47384268045425415
hit:10282_conv:20565,faithful,I know I can pass my calculus test today!,I know I can pass my calculus test today!,Great confidence! what do you anticipate your grade to be,"That's the spirit! With that kind of confidence and belief, I'm sure you'll do great. Just keep focusing on what you've learned, and you'll pass with flying colors!","That's great to hear! You sound confident and ready. Good luck, you're going to do awesome!",0.45009714365005493,0.4518723487854004
hit:10325_conv:20651,apprehensive,I got a call from my sisters boyfriend saying she had been in a wreck and was life flighted to a hospital. I had to drive 2 hours to get to where she was without knowing any details about her condition.,I got a call from my sister's boyfriend that she was in a car wreck and was being life-flighted to the hospital with no information on her condition. Just that I need to get there quick.,Oh my goodness! Is she going to be alright?,"Oh my goodness, that must have been incredibly stressful for you. I can't even begin to imagine how worried you must have felt during that drive. How is everything now? Is there any update on her condition?","Oh no, I'm so sorry to hear that! That must be incredibly stressful for you. I hope she's going to be okay. Do you need someone to drive you to the hospital or help with anything else right now?",0.4920160472393036,0.5254555344581604
hit:10352_conv:20704,embarrassed,"Some people can be very annoying,  I was so ashamed the other day","I was in a meeting when someone accused me of stealing his money,  it was so tough on me","That's the thing with accusations, anybody can say anything. But if they don't have any proof then it's meaningless.","I'm really sorry to hear that you went through such a difficult experience. It must have been really embarrassing to be accused like that, especially in front of others. How are you feeling now? Is there anything I can do to help you deal with this situation?",That sounds incredibly stressful. How did you handle the situation?,0.34950047731399536,0.3358319401741028
hit:10409_conv:20818,ashamed,"I lied to my girlfriend yesterday, and now I feel terrible",I lied to my girlfriend yesterday.  I feel awful about it,WHY ? what did you lie about? ,"It's good that you recognize your mistake and feel remorseful about it. It's important to be honest in a relationship. Maybe consider talking to her and telling her the truth. It might be tough, but it's a step towards making things right. How do you think you'll handle it?",It's understandable to feel that way after lying. Have you thought about talking to her and telling her the truth? It might help clear the air and mend things between you two.,0.3765002191066742,0.3655010759830475
hit:1043_conv:2086,trusting,when i loaned my friend money , My friend told me she didnt have enough money for rent and that she needed to borrow some money. ,I know you're not asking for advice but... DONT. Just dont.,It sounds like you really trust your friend to help her out in such a significant way. It's great that you could be there for her when she needed support. How did it make you feel to be able to help?,"That sounds tough for your friend. Are you considering lending her the money, or are you looking for other ways to help her out?",0.3648676872253418,0.3810686767101288
hit:10464_conv:20929,faithful,"I have been at my job for over 10 years and though I feel like I could use some additional experiences, I also feel a sense of loyalty to my current company.",It is hard to make a decision to take a new job when you have been with one employer for a long time.,I agree. Do you find yourself in that situation right now? ,"Absolutely, it's understandable to feel that way. Loyalty is quite valuable, and having a strong sense of commitment to your company shows your integrity. Have you considered discussing your desire for new experiences with your current employer? Perhaps there could be opportunities for growth or new challenges within your current company that you haven't explored yet.","Absolutely, it can be really challenging to leave the familiarity and comfort of a long-term job. What aspects of the new opportunity are making you consider the change?",0.421640545129776,0.39444810152053833
hit:10465_conv:20931,trusting,I was told from a little girl that my greatgrand parents farm would one day come to me. I believed it all my life and never questioned it. Momma sold it out from under me 2 months ago.,How can a mother do that to a child?,"Oh no, do what?","I can only imagine how betrayed you must feel, especially after holding onto that belief for so long. It’s tough when expectations set from childhood change so drastically. Have you had the chance to talk to your mom about how this has affected you?","It's truly heartbreaking to hear about situations where a child suffers. If you want to talk more about it or need support, I'm here to listen.",0.27059486508369446,0.25129762291908264
hit:10501_conv:21002,anticipating,"A game I'm really looking forward to is coming out in October, and I'm very excited for it.","A game I'm really looking forward to is coming out this October, and I'm super pumped to play it.","Nice, it's been a while since i've anticipated any new games. what game is it?","That's awesome! What game is it, and what are you most excited about?","That's exciting! What game is it, and what are you looking forward to the most about it?",0.5258520841598511,0.5267665386199951
