conv_id,utterance_idx,emotion_label,context,utterance
hit:11801_conv:23602,1,anxious,"I am scared of how work is going to go, it is the start of our busiest period of the year","I am scared of how work is going to go, it is the start of our busiest period of the year"
hit:11801_conv:23602,2,anxious,"I am scared of how work is going to go, it is the start of our busiest period of the year","It's hard for me to empathize since I'm just in college right now. But my girlfriend is in a line of work that is the same way, and I hate to see her get so stressed out and all of her time eaten away because of work. I try to give her her space and to be understanding. Hopefully people do that with you, too."
hit:11801_conv:23602,3,anxious,"I am scared of how work is going to go, it is the start of our busiest period of the year","Sometimes they do, it is tought though, it is way busier than it has been the past few months"
hit:11801_conv:23602,4,anxious,"I am scared of how work is going to go, it is the start of our busiest period of the year","Well, if there's any way you can give them insight to what you're dealing with, so that they better understand, I would do it. My girlfriend spent 10 mins one day explaining to me what she dealt with, and it went a long way for me to not bother her as much about it"
hit:9770_conv:19540,1,surprised,"Once, my girlfriend came to visit me to work for lunch, that was awsome",I always feel happy sharing lunch with somebody special
hit:9770_conv:19540,2,surprised,"Once, my girlfriend came to visit me to work for lunch, that was awsome","I agree, its one of best smallest things in life that make it worth it"
hit:9770_conv:19540,3,surprised,"Once, my girlfriend came to visit me to work for lunch, that was awsome","Yes, that is way I always try to do it"
hit:9770_conv:19540,4,surprised,"Once, my girlfriend came to visit me to work for lunch, that was awsome","Yup, I make it a point to have dinner with a friend every now and then"
hit:6900_conv:13800,1,anticipating,My daughter is entering a local battle of the bands contest.,My daughter is entering a local battle of the bands contest.
hit:6900_conv:13800,2,anticipating,My daughter is entering a local battle of the bands contest.,is this her first one?
hit:6900_conv:13800,3,anticipating,My daughter is entering a local battle of the bands contest.,"Yes, it is! I hope it will be a good expereince for her."
hit:6900_conv:13800,4,anticipating,My daughter is entering a local battle of the bands contest.,thats good
hit:0_conv:1,1,sentimental,"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.","I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people, we felt like the only people in the world."
hit:0_conv:1,2,sentimental,"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.","Was this a friend you were in love with, or just a best friend?"
hit:0_conv:1,3,sentimental,"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",This was a best friend. I miss her.
hit:0_conv:1,4,sentimental,"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",Where has she gone?
hit:0_conv:1,5,sentimental,"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",We no longer talk.
hit:0_conv:1,6,sentimental,"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",Oh was this something that happened because of an argument?
hit:8905_conv:17810,1,anticipating,"I called my new boss about when I need to come in to work for the first time, and they said they'd call me back. I keep waiting for the phone to ring, and it's getting late, but they're not calling me.","I'm transferring to a new job and it's just beena  headache getting the paperwork done. I called my new boss to ask when I come into work, and they said they'd call me back. It's getting pretty late and I've been guarding my phone, but they still haven't called me back."
hit:8905_conv:17810,2,anticipating,"I called my new boss about when I need to come in to work for the first time, and they said they'd call me back. I keep waiting for the phone to ring, and it's getting late, but they're not calling me.",that's annoying. maybe you should try giving them a call again?
hit:8905_conv:17810,3,anticipating,"I called my new boss about when I need to come in to work for the first time, and they said they'd call me back. I keep waiting for the phone to ring, and it's getting late, but they're not calling me.",They've been obviously annoyed with me because I've had to finaggle them to get me transferred already. I hate to call again but I think I might have to.
hit:8905_conv:17810,4,anticipating,"I called my new boss about when I need to come in to work for the first time, and they said they'd call me back. I keep waiting for the phone to ring, and it's getting late, but they're not calling me.","i completely understand, i hope they will call you soon so you won't have to"
hit:2931_conv:5863,1,grateful,I got 2 working arms and legs. I am so thankful for that.,I got 2 working arms and legs. I am so thankful for that.
hit:2931_conv:5863,2,grateful,I got 2 working arms and legs. I am so thankful for that.,That is good to hear. Disabilities are never easy for people.
hit:2931_conv:5863,3,grateful,I got 2 working arms and legs. I am so thankful for that.,I agree. I am so thankful.
